field,num_unique_values
http://www.wikidata.org/entity/Q11289687,1
http://www.wikidata.org/entity/Q11290025,1
http://www.wikidata.org/entity/Q11290029,1
http://www.wikidata.org/entity/Q11290102,1
http://www.wikidata.org/entity/Q11290177,1
http://www.wikidata.org/entity/Q11290529,1
http://www.wikidata.org/entity/Q11290535,1
http://www.wikidata.org/entity/Q11290665,1
http://www.wikidata.org/entity/Q11290770,1
http://www.wikidata.org/entity/Q11290779,1
http://www.wikidata.org/entity/Q11290858,1
http://www.wikidata.org/entity/Q11290979,1
http://www.wikidata.org/entity/Q11290980,1
http://www.wikidata.org/entity/Q11290981,1
http://www.wikidata.org/entity/Q11290983,1
http://www.wikidata.org/entity/Q11290986,1
http://www.wikidata.org/entity/Q11290987,1
http://www.wikidata.org/entity/Q11290995,1
http://www.wikidata.org/entity/Q11291016,1
http://www.wikidata.org/entity/Q11291017,1
http://www.wikidata.org/entity/Q11291050,1
http://www.wikidata.org/entity/Q11291072,1
http://www.wikidata.org/entity/Q11291079,1
http://www.wikidata.org/entity/Q11291100,1
http://www.wikidata.org/entity/Q11291183,1
http://www.wikidata.org/entity/Q11291255,1
http://www.wikidata.org/entity/Q11291418,1
http://www.wikidata.org/entity/Q11291467,1
http://www.wikidata.org/entity/Q11291528,1
http://www.wikidata.org/entity/Q11291529,1
http://www.wikidata.org/entity/Q11291530,1
http://www.wikidata.org/entity/Q11291531,1
http://www.wikidata.org/entity/Q11291532,1
http://www.wikidata.org/entity/Q11291691,1
http://www.wikidata.org/entity/Q11291692,1
http://www.wikidata.org/entity/Q11291695,1
http://www.wikidata.org/entity/Q11291734,1
http://www.wikidata.org/entity/Q11291850,1
http://www.wikidata.org/entity/Q11291893,1
http://www.wikidata.org/entity/Q11291894,1
http://www.wikidata.org/entity/Q11291911,1
http://www.wikidata.org/entity/Q11292054,1
http://www.wikidata.org/entity/Q11292157,1
http://www.wikidata.org/entity/Q11292162,1
http://www.wikidata.org/entity/Q11292195,1
http://www.wikidata.org/entity/Q11292216,1
